
---------- Begin Simulation Statistics ----------
system.cpus0.issuedInstType_0::SimdReduceAdd            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdReduceAlu            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdReduceCmp            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatReduceAdd            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatReduceCmp            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdAes              0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdAesMix            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdSha1Hash            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdSha1Hash2            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdSha256Hash            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdSha256Hash2            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdShaSigma2            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdShaSigma3            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdSha3             0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdSm4e             0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdCrc              0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdPredAlu            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdDotProd            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::Matrix               0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::MatrixMov            0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::MatrixOP             0      0.00%     79.78% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::MemRead       21622595      7.16%     86.95% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::MemWrite        829102      0.27%     87.22% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatMemRead     36559907     12.11%     99.33% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::FloatMemWrite      2018215      0.67%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdUnitStrideLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdUnitStrideStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdUnitStrideMaskStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdExt              0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdBf16Add            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdBf16Cmp            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdBf16Cvt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdBf16DotProd            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdBf16MatMultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdBf16Mult            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::SimdBf16MultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::Bf16Cvt              0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::System               0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issuedInstType_0::total        301868903                       # Number of instructions issued per FU type, per thread (Count)
system.cpus0.issueRate                       5.210466                       # Inst issue rate ((Count/Cycle))
system.cpus0.fuBusy                           5294883                       # FU busy when requested (Count)
